               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.030916,            0.032888,           0.0049723,             0.82522,             0.75055,             0.76197,             0.37243,            0.038993,            0.031862,           0.0060499,           0.0036578,           0.0036578,           0.0036578
                  84,            0.031219,            0.033314,           0.0050459,             0.81365,             0.72857,             0.75905,             0.41119,            0.034886,            0.031016,           0.0070203,           0.0035805,           0.0035805,           0.0035805
                  85,            0.035345,            0.048111,           0.0057623,             0.82903,             0.72145,             0.75354,             0.41446,            0.033771,            0.030827,           0.0075089,           0.0035031,           0.0035031,           0.0035031
                  86,            0.032783,            0.038486,           0.0046484,             0.73285,              0.7325,              0.7735,             0.43157,             0.03259,             0.03098,           0.0074545,           0.0034258,           0.0034258,           0.0034258
                  87,            0.033194,            0.038121,           0.0042433,             0.85207,             0.72668,             0.80189,             0.39737,            0.036567,            0.032189,           0.0073054,           0.0033484,           0.0033484,           0.0033484
                  88,            0.030205,            0.030614,            0.004504,             0.74527,             0.72308,             0.73505,             0.42975,             0.03359,            0.032192,           0.0069972,           0.0032711,           0.0032711,           0.0032711
                  89,            0.030533,            0.034922,            0.004612,             0.82799,             0.72308,             0.77952,             0.38077,            0.039437,            0.033931,           0.0066268,           0.0031938,           0.0031938,           0.0031938
                  90,            0.030486,             0.03639,           0.0034566,             0.79854,             0.72857,              0.8056,             0.41706,            0.036232,            0.033143,            0.007056,           0.0031164,           0.0031164,           0.0031164
                  91,            0.032006,            0.040137,           0.0041626,             0.81446,             0.72308,             0.80211,             0.38408,            0.036451,             0.03299,           0.0069621,           0.0030391,           0.0030391,           0.0030391
                  92,            0.029026,            0.036288,           0.0045447,              0.7335,             0.71758,              0.7724,             0.40759,              0.0339,            0.032891,           0.0072326,           0.0029617,           0.0029617,           0.0029617
                  93,            0.031209,            0.030381,           0.0033308,              0.7521,             0.71758,             0.77707,             0.36563,            0.036756,            0.034057,           0.0072573,           0.0028844,           0.0028844,           0.0028844
                  94,            0.031501,             0.03492,           0.0039796,             0.66972,             0.93407,             0.76718,             0.38029,            0.035741,            0.033424,           0.0075536,            0.002807,            0.002807,            0.002807
                  95,            0.032061,            0.040581,           0.0037728,             0.66769,             0.93407,             0.77359,             0.39388,            0.034148,            0.033092,            0.007111,           0.0027297,           0.0027297,           0.0027297
                  96,            0.030049,            0.039494,           0.0037275,             0.71663,             0.73292,             0.76788,               0.409,            0.033919,            0.032836,           0.0067026,           0.0026523,           0.0026523,           0.0026523
                  97,            0.027328,            0.030808,           0.0038791,             0.71404,             0.73407,             0.75558,             0.38458,            0.035936,             0.03354,           0.0066901,            0.002575,            0.002575,            0.002575
                  98,            0.027081,            0.032573,           0.0029058,             0.68217,             0.73407,             0.71315,             0.39223,            0.033642,            0.033379,           0.0068288,           0.0024977,           0.0024977,           0.0024977
                  99,            0.031133,             0.03886,           0.0038065,              0.6789,              0.7295,             0.69856,             0.35511,            0.037527,             0.03456,           0.0071595,           0.0024203,           0.0024203,           0.0024203
                 100,            0.028083,            0.027774,           0.0032275,             0.64914,             0.84505,             0.71059,             0.37459,            0.035793,             0.03384,            0.007309,            0.002343,            0.002343,            0.002343
                 101,            0.027345,            0.031511,            0.002985,             0.70461,             0.72857,             0.72745,             0.38153,            0.036044,             0.03397,           0.0075197,           0.0022656,           0.0022656,           0.0022656
                 102,            0.027051,            0.035117,           0.0033254,             0.71616,             0.72857,             0.72529,             0.40572,            0.033795,            0.033818,           0.0075714,           0.0021883,           0.0021883,           0.0021883
                 103,            0.029891,            0.033941,           0.0034324,             0.72046,             0.73422,             0.73307,             0.38359,             0.03606,            0.034279,           0.0073506,           0.0021109,           0.0021109,           0.0021109
                 104,             0.02933,            0.036598,            0.003649,             0.72314,             0.73407,             0.72348,             0.40139,            0.033131,            0.033306,           0.0068252,           0.0020336,           0.0020336,           0.0020336
                 105,            0.028156,            0.035058,           0.0031522,             0.72979,              0.7426,              0.7336,             0.38278,            0.035069,            0.034344,           0.0066587,           0.0019563,           0.0019563,           0.0019563
                 106,            0.026762,            0.035916,           0.0033322,             0.72537,             0.73956,             0.71762,             0.39145,            0.033792,            0.033891,           0.0065587,           0.0018789,           0.0018789,           0.0018789
                 107,            0.028615,            0.034191,           0.0030776,             0.72563,             0.73956,             0.71688,             0.39022,            0.034552,            0.034103,           0.0066825,           0.0018016,           0.0018016,           0.0018016
                 108,            0.029729,            0.037326,           0.0035328,             0.73697,             0.83291,             0.73661,              0.3962,            0.033617,            0.033638,            0.006885,           0.0017242,           0.0017242,           0.0017242
                 109,            0.026649,            0.029268,           0.0029018,             0.74641,             0.84216,             0.73835,             0.39539,            0.034619,            0.034426,           0.0066868,           0.0016469,           0.0016469,           0.0016469
                 110,            0.030939,            0.038271,           0.0039704,             0.70001,             0.84505,             0.73302,             0.41597,              0.0346,             0.03406,           0.0070274,           0.0015695,           0.0015695,           0.0015695
                 111,            0.025345,             0.03024,           0.0026432,             0.70589,             0.84505,             0.73426,             0.40695,            0.035227,            0.034388,           0.0074492,           0.0014922,           0.0014922,           0.0014922
                 112,            0.025744,            0.030839,           0.0031196,             0.70546,             0.84341,             0.71462,             0.40858,             0.03411,            0.034266,            0.007349,           0.0014148,           0.0014148,           0.0014148
                 113,            0.026438,            0.032317,           0.0025331,             0.70554,              0.8445,             0.71376,              0.3937,            0.035582,            0.035026,           0.0072958,           0.0013375,           0.0013375,           0.0013375
                 114,            0.027976,            0.041876,           0.0031853,             0.70632,             0.84442,             0.71518,             0.41668,            0.033539,            0.034203,           0.0073765,           0.0012602,           0.0012602,           0.0012602
                 115,            0.025204,            0.033217,            0.002683,             0.70618,             0.84839,             0.73978,             0.41166,            0.034217,            0.034547,           0.0070037,           0.0011828,           0.0011828,           0.0011828
                 116,            0.026613,            0.033782,           0.0031376,             0.69462,             0.84412,             0.74064,             0.42602,            0.033803,            0.034581,           0.0068754,           0.0011055,           0.0011055,           0.0011055
                 117,            0.025817,            0.030924,           0.0033407,             0.68692,             0.83492,             0.73636,             0.41798,            0.034939,            0.034935,           0.0068323,           0.0010281,           0.0010281,           0.0010281
                 118,            0.025865,            0.035084,           0.0024316,             0.68909,             0.83454,             0.73683,              0.4208,            0.034261,             0.03435,           0.0068141,          0.00095078,          0.00095078,          0.00095078
                 119,            0.025301,            0.034451,           0.0031414,             0.68826,             0.83333,             0.73804,             0.41576,            0.034659,            0.034242,           0.0068035,          0.00087344,          0.00087344,          0.00087344
                 120,            0.024894,            0.031209,           0.0032281,              0.6868,             0.83293,             0.73577,             0.42521,            0.033576,             0.03397,           0.0068152,          0.00079609,          0.00079609,          0.00079609
                 121,            0.025426,            0.034249,           0.0030609,             0.67997,             0.83288,             0.73685,              0.4204,            0.033898,            0.033656,           0.0068492,          0.00071875,          0.00071875,          0.00071875
                 122,            0.027465,            0.037906,           0.0032106,             0.69106,             0.83288,             0.73751,             0.42102,            0.033926,            0.033594,           0.0068903,          0.00064141,          0.00064141,          0.00064141
                 123,            0.025139,            0.030005,           0.0021077,             0.68478,              0.8333,             0.73959,             0.41377,            0.034511,            0.033573,           0.0069213,          0.00056406,          0.00056406,          0.00056406
                 124,             0.02534,            0.030726,           0.0029482,             0.68859,             0.82664,             0.73978,             0.42071,            0.034132,            0.033448,           0.0070863,          0.00048672,          0.00048672,          0.00048672
                 125,             0.02572,            0.030875,           0.0024997,             0.68533,             0.82967,             0.72033,             0.41014,            0.034053,            0.033336,           0.0071999,          0.00040938,          0.00040938,          0.00040938
                 126,            0.024758,            0.030653,           0.0024845,             0.68701,             0.73264,             0.70361,              0.4021,            0.034424,            0.033422,            0.007354,          0.00033203,          0.00033203,          0.00033203
                 127,            0.025999,            0.033149,           0.0030455,             0.68867,             0.83125,             0.71955,             0.40808,            0.034525,            0.033531,           0.0073489,          0.00025469,          0.00025469,          0.00025469
